age,job,marital,education,balance,housing,loan,y
52,management,divorced,tertiary,2431,yes,yes,no
63,student,single,tertiary,21998,yes,no,yes
27,management,single,secondary,5343,yes,no,no
19,management,married,secondary,7751,yes,yes,no
46,admin,divorced,tertiary,9943,yes,yes,yes
56,technician,married,secondary,175,no,no,no
34,student,single,tertiary,43204,no,yes,no
68,technician,divorced,primary,13400,no,no,yes
51,admin,married,secondary,37222,yes,no,no
45,admin,married,tertiary,39751,yes,yes,yes
38,services,married,secondary,27955,no,no,yes
48,management,married,secondary,30063,yes,no,no
50,services,single,secondary,21699,no,yes,yes
62,technician,single,secondary,36399,yes,yes,yes
27,management,divorced,secondary,15061,no,no,yes
36,management,divorced,secondary,26328,no,yes,no
46,admin,married,secondary,10250,yes,yes,no
59,technician,divorced,secondary,17977,no,no,yes
63,services,divorced,primary,47131,yes,no,yes
30,technician,married,secondary,1370,no,yes,no
57,management,married,tertiary,3370,yes,yes,no
32,services,married,secondary,47100,yes,no,no
18,admin,married,primary,15247,yes,yes,no
55,student,married,primary,43852,no,no,no
61,management,married,primary,26248,yes,yes,no
51,services,divorced,tertiary,35571,yes,no,no
46,student,divorced,secondary,22571,yes,no,yes
70,services,married,secondary,-714,yes,yes,no
68,technician,divorced,secondary,26461,yes,yes,yes
63,services,divorced,secondary,17693,no,no,no
68,management,married,primary,35794,yes,yes,no
38,admin,married,tertiary,43748,yes,no,yes
31,student,single,secondary,28189,yes,yes,yes
33,admin,single,tertiary,38145,no,yes,yes
35,admin,divorced,tertiary,22796,yes,no,yes
18,services,single,secondary,6553,yes,no,no
25,student,married,primary,5984,yes,no,no
28,technician,married,tertiary,9859,yes,no,yes
67,student,married,primary,336,no,yes,no
60,management,married,tertiary,11184,no,no,no
47,admin,married,primary,24209,yes,no,yes
27,admin,single,primary,10349,yes,no,no
66,services,single,primary,20175,no,yes,yes
47,management,divorced,secondary,33025,yes,yes,no
54,student,single,secondary,27502,no,yes,yes
56,services,divorced,secondary,15652,yes,yes,no
21,services,married,secondary,12687,no,yes,yes
35,services,single,secondary,43714,yes,no,no
67,services,married,secondary,14849,no,no,no
34,services,single,primary,43975,yes,yes,yes
34,admin,divorced,secondary,644,yes,yes,yes
36,services,divorced,tertiary,32138,yes,yes,no
33,management,single,tertiary,26954,no,no,no
59,management,married,secondary,9692,no,no,yes
23,management,single,tertiary,20531,no,yes,yes
38,admin,divorced,primary,10493,no,yes,yes
63,management,divorced,secondary,28050,yes,yes,yes
31,services,divorced,primary,16644,no,yes,no
23,admin,married,primary,20096,yes,yes,yes
65,technician,married,primary,17137,yes,no,no
59,technician,single,primary,13566,no,no,yes
37,management,married,primary,41615,yes,yes,yes
30,services,married,tertiary,12955,no,yes,no
55,admin,single,tertiary,26660,no,yes,yes
21,student,divorced,primary,7376,yes,yes,no
44,management,married,tertiary,13798,yes,no,no
60,technician,married,tertiary,41149,no,yes,no
63,admin,divorced,secondary,38369,yes,yes,yes
69,services,divorced,primary,36550,no,yes,no
44,services,single,secondary,37709,yes,no,no
66,technician,married,secondary,41501,yes,no,yes
18,admin,married,primary,32579,yes,no,yes
52,student,married,secondary,45812,yes,no,yes
33,student,married,secondary,8589,no,no,yes
64,services,single,secondary,13517,no,yes,no
40,technician,divorced,secondary,4275,yes,yes,yes
37,admin,single,primary,30639,yes,yes,yes
34,technician,single,tertiary,7199,no,yes,no
65,admin,married,primary,36503,no,yes,yes
23,management,divorced,tertiary,36838,no,no,yes
23,admin,married,secondary,29425,no,no,yes
51,admin,single,primary,16063,no,yes,yes
27,services,single,primary,30877,no,no,yes
28,admin,single,primary,10333,no,no,no
25,student,single,tertiary,-495,no,no,yes
20,admin,married,primary,46642,yes,no,yes
65,management,single,secondary,42478,yes,yes,yes
30,services,single,tertiary,12186,yes,yes,yes
65,management,divorced,tertiary,49716,no,no,yes
28,technician,single,primary,32415,yes,no,no
58,admin,married,primary,30671,yes,yes,no
66,technician,single,primary,40394,no,yes,no
69,technician,divorced,tertiary,19534,no,no,yes
67,services,divorced,tertiary,28894,yes,no,no
59,admin,married,secondary,25912,no,yes,no
35,admin,single,tertiary,17891,no,no,yes
20,admin,married,primary,16781,no,no,no
24,management,married,primary,46085,yes,no,yes
32,technician,divorced,tertiary,29572,yes,yes,no
24,admin,married,tertiary,7998,no,no,yes
62,admin,married,tertiary,7435,no,yes,yes
63,technician,married,tertiary,18330,yes,no,no
63,technician,married,tertiary,1828,yes,yes,yes
63,admin,married,primary,39847,no,no,yes
29,management,divorced,secondary,46406,yes,yes,yes
52,management,divorced,secondary,21361,no,no,yes
68,student,single,primary,27888,yes,yes,yes
41,admin,single,tertiary,25840,no,yes,no
43,student,single,primary,42296,yes,yes,no
44,services,divorced,primary,24832,yes,no,no
18,student,single,tertiary,1828,yes,yes,no
42,student,divorced,secondary,38712,yes,yes,no
68,admin,married,primary,33187,yes,no,yes
52,services,married,primary,19949,yes,no,no
52,admin,divorced,secondary,24914,yes,no,yes
66,services,married,secondary,1474,no,yes,no
53,services,divorced,primary,4519,no,no,no
32,student,married,primary,1997,yes,no,no
18,technician,divorced,primary,28899,no,no,no
32,student,divorced,tertiary,44601,no,no,yes
31,student,single,tertiary,30547,yes,yes,no
23,student,divorced,secondary,5391,no,yes,no
68,admin,divorced,secondary,41177,no,yes,yes
59,services,married,tertiary,45240,yes,no,no
51,management,single,secondary,29296,yes,no,no
65,management,single,tertiary,589,no,yes,no
27,technician,married,primary,-427,yes,yes,no
19,services,married,tertiary,33600,yes,yes,yes
52,student,single,secondary,10390,yes,no,no
42,services,single,secondary,17997,no,no,yes
63,student,divorced,secondary,41766,yes,no,yes
37,admin,single,primary,4412,no,yes,no
57,management,married,tertiary,16683,yes,no,yes
64,management,single,tertiary,23738,yes,no,no
22,management,divorced,primary,44357,no,yes,yes
46,student,single,primary,16065,no,yes,yes
50,technician,married,secondary,15230,no,no,yes
38,management,married,primary,32866,no,no,no
59,admin,married,secondary,7025,yes,yes,yes
49,services,married,primary,42065,no,yes,yes
39,services,single,primary,43593,yes,no,yes
54,management,divorced,primary,25154,yes,yes,yes
35,services,single,secondary,23744,no,no,no
27,management,married,secondary,29087,yes,yes,yes
34,management,single,tertiary,41254,yes,yes,yes
35,student,divorced,secondary,46447,yes,no,no
56,services,married,secondary,27048,yes,yes,no
48,technician,divorced,tertiary,46731,yes,no,no
66,admin,single,primary,49422,no,yes,yes
37,services,single,secondary,15168,yes,no,no
63,admin,married,primary,28202,no,no,no
28,student,married,tertiary,13233,yes,yes,yes
41,admin,divorced,primary,15566,yes,yes,yes
44,management,married,secondary,-189,yes,yes,no
34,technician,divorced,secondary,28377,yes,no,yes
59,management,married,tertiary,15098,yes,no,no
64,technician,married,tertiary,10825,no,no,no
46,services,single,primary,7629,yes,yes,no
22,admin,married,tertiary,46941,yes,no,yes
41,student,married,primary,88,no,yes,no
41,admin,married,tertiary,24242,yes,no,no
66,management,divorced,primary,29199,yes,yes,no
66,management,divorced,primary,31397,no,yes,yes
55,technician,divorced,secondary,981,no,no,no
35,technician,divorced,primary,26494,yes,yes,yes
47,services,single,primary,10624,yes,yes,no
60,management,married,primary,11993,yes,no,no
45,management,single,tertiary,151,no,yes,yes
63,services,divorced,primary,40565,no,yes,yes
28,student,single,secondary,25940,no,no,no
42,technician,divorced,secondary,1796,yes,no,no
34,management,divorced,primary,24071,no,no,no
53,technician,single,secondary,46453,no,no,no
67,services,divorced,primary,23378,yes,no,no
38,student,divorced,tertiary,24918,no,no,yes
19,technician,single,primary,23278,no,yes,no
60,student,single,primary,31421,no,yes,yes
33,management,single,secondary,39091,no,no,yes
69,management,single,primary,874,no,no,no
24,admin,single,primary,28614,no,yes,no
23,student,divorced,secondary,25510,no,no,yes
56,management,married,secondary,8448,yes,yes,yes
69,admin,single,secondary,45684,no,yes,yes
70,student,married,secondary,39762,yes,yes,yes
56,management,married,tertiary,33126,no,no,yes
50,management,married,tertiary,8634,no,no,yes
23,admin,divorced,tertiary,28529,no,yes,yes
55,management,single,tertiary,39281,no,yes,no
59,student,single,tertiary,34609,yes,yes,yes
64,admin,divorced,tertiary,23872,no,no,no
62,management,single,secondary,15922,no,no,yes
26,student,divorced,tertiary,4211,yes,yes,yes
49,services,married,tertiary,29446,yes,yes,no
28,admin,divorced,secondary,27879,yes,no,no
33,technician,married,tertiary,13643,no,no,yes
25,services,divorced,tertiary,36095,no,no,yes
29,services,single,tertiary,17107,yes,no,no
31,services,divorced,tertiary,6392,yes,yes,no
19,technician,single,secondary,34853,no,no,no
47,student,single,primary,37524,yes,yes,no
23,services,single,tertiary,34804,yes,yes,no
68,admin,divorced,tertiary,28019,no,no,yes
45,student,married,primary,49691,yes,no,no
47,technician,married,primary,20846,yes,yes,no
38,technician,single,secondary,29263,no,no,yes
57,admin,married,tertiary,41587,yes,yes,yes
35,admin,divorced,secondary,47216,yes,no,no
41,technician,married,secondary,48407,no,no,yes
18,technician,single,primary,19941,no,no,no
39,student,divorced,primary,9789,no,yes,no
49,student,married,primary,36918,no,yes,no
55,admin,divorced,tertiary,11806,no,no,no
22,technician,single,tertiary,27942,no,no,no
60,management,married,secondary,29359,yes,yes,yes
53,management,married,primary,24555,yes,yes,no
28,admin,single,tertiary,27590,yes,no,no
41,services,divorced,secondary,29382,yes,no,no
64,management,married,tertiary,35897,yes,yes,yes
31,student,single,primary,42992,no,no,yes
25,admin,divorced,secondary,22445,no,no,no
35,admin,divorced,secondary,42408,no,no,no
65,management,married,tertiary,25186,yes,no,yes
20,management,single,primary,3148,no,no,yes
53,management,single,secondary,8221,yes,no,yes
64,technician,married,tertiary,16301,no,yes,yes
19,student,single,tertiary,463,yes,no,no
69,admin,divorced,secondary,20084,no,no,yes
32,management,single,tertiary,8182,yes,no,no
39,student,single,primary,26862,yes,yes,no
22,admin,single,tertiary,14527,yes,no,no
28,technician,divorced,primary,3152,no,yes,no
59,student,married,primary,34710,yes,yes,yes
65,services,married,primary,11275,no,no,yes
31,management,divorced,secondary,22807,yes,yes,no
51,admin,married,primary,43837,yes,no,yes
31,admin,divorced,primary,16633,no,no,no
34,admin,married,primary,18567,no,yes,no
26,management,married,secondary,15428,no,no,no
47,student,married,primary,7305,yes,yes,no
36,student,single,primary,45381,no,yes,yes
37,management,married,primary,10766,no,yes,yes
37,management,married,secondary,13682,yes,yes,no
21,admin,divorced,tertiary,17862,no,no,no
50,management,single,secondary,49381,no,no,yes
26,admin,divorced,tertiary,12179,no,yes,no
27,student,single,tertiary,7741,yes,yes,yes
67,management,single,tertiary,44588,no,yes,no
48,technician,divorced,secondary,-915,yes,no,no
57,management,single,secondary,30072,no,no,no
58,admin,married,tertiary,31917,no,no,yes
28,student,divorced,secondary,13790,no,yes,no
36,management,married,tertiary,2523,yes,no,yes
24,student,single,secondary,20063,no,yes,no
62,admin,single,tertiary,48847,yes,no,no
19,management,single,primary,8219,yes,yes,no
67,admin,divorced,tertiary,10010,no,no,yes
66,management,single,primary,20423,yes,no,yes
48,admin,divorced,primary,5944,no,no,no
39,management,single,tertiary,22569,yes,yes,yes
61,management,married,primary,37050,yes,yes,yes
60,admin,divorced,primary,33874,yes,yes,no
36,management,married,primary,20771,no,no,no
40,services,divorced,primary,36390,no,no,yes
45,management,single,secondary,25716,no,yes,no
28,technician,single,tertiary,49432,no,no,yes
24,student,divorced,tertiary,26667,no,no,yes
56,technician,married,primary,31615,yes,yes,yes
24,management,single,tertiary,23115,no,yes,no
54,services,divorced,secondary,48787,yes,yes,yes
45,services,single,tertiary,45421,no,no,no
53,technician,single,primary,23454,no,no,yes
41,services,married,secondary,10580,yes,no,yes
30,management,married,primary,4840,no,yes,yes
28,management,divorced,tertiary,2429,no,yes,no
26,management,divorced,primary,15687,yes,no,yes
61,technician,single,primary,23616,no,yes,yes
25,admin,single,tertiary,42586,yes,no,yes
34,student,single,tertiary,5281,no,yes,yes
22,management,single,secondary,28916,yes,no,no
51,student,married,primary,20575,yes,yes,no
68,admin,married,tertiary,20722,no,yes,no
24,services,married,primary,17340,yes,no,no
31,management,married,tertiary,44157,no,yes,no
28,student,single,secondary,24782,no,no,yes
19,services,married,secondary,28512,no,no,yes
59,services,single,primary,32573,no,no,yes
40,management,single,primary,40782,no,no,no
59,technician,married,tertiary,18214,yes,no,no
35,management,divorced,tertiary,15134,no,no,yes
43,services,single,secondary,727,no,yes,yes
23,services,divorced,primary,31860,yes,no,no
35,student,single,tertiary,43312,no,yes,no
54,services,single,primary,39744,no,no,yes
52,technician,single,secondary,38786,no,no,no
36,admin,single,tertiary,26971,yes,no,yes
65,management,single,primary,33569,yes,no,no
53,technician,divorced,secondary,6998,yes,yes,no
39,services,single,tertiary,16311,yes,yes,yes
67,technician,married,tertiary,25973,yes,yes,no
57,management,married,primary,27861,no,no,yes
57,student,single,tertiary,44596,yes,yes,yes
28,student,married,primary,18426,yes,no,no
62,services,single,primary,30867,yes,yes,no
23,technician,divorced,primary,47416,yes,no,no
42,technician,married,primary,20256,yes,no,yes
27,technician,single,secondary,25034,no,no,yes
40,management,divorced,tertiary,43692,no,yes,yes
50,technician,single,secondary,45800,no,no,no
56,technician,married,tertiary,1422,yes,no,yes
60,technician,divorced,primary,11405,yes,yes,no
41,management,married,tertiary,3553,yes,yes,yes
36,student,single,primary,10523,yes,no,yes
34,management,single,secondary,17042,no,no,no
19,admin,single,secondary,32791,no,yes,yes
29,services,divorced,primary,10633,no,yes,yes
39,management,divorced,primary,7684,yes,yes,no
51,services,married,primary,24154,yes,no,yes
56,technician,single,primary,8146,no,yes,no
55,admin,single,primary,17409,no,yes,yes
67,admin,married,primary,21452,yes,no,no
34,technician,single,secondary,1059,no,no,yes
67,admin,divorced,primary,8526,yes,yes,no
53,admin,divorced,secondary,-23,yes,yes,no
43,services,married,primary,21597,no,no,yes
44,technician,single,primary,48460,no,no,no
68,technician,single,primary,8630,yes,no,yes
24,services,divorced,tertiary,3553,yes,no,no
34,student,single,secondary,31999,no,no,no
25,student,single,tertiary,17297,no,yes,no
28,technician,married,tertiary,25902,no,yes,yes
54,services,divorced,tertiary,10451,yes,yes,no
39,student,divorced,secondary,26676,yes,no,yes
64,services,married,primary,36659,no,yes,no
59,admin,married,secondary,8133,no,yes,yes
69,management,married,tertiary,584,no,yes,yes
39,student,single,tertiary,8840,no,yes,yes
53,admin,divorced,tertiary,49275,no,yes,no
37,management,married,secondary,39613,yes,no,no
60,services,married,secondary,48185,yes,no,yes
48,technician,single,tertiary,36980,no,no,yes
41,management,divorced,secondary,26446,no,yes,yes
66,services,divorced,primary,15036,no,no,yes
52,management,single,primary,16626,yes,yes,yes
35,services,single,primary,44122,yes,yes,no
34,student,single,primary,19945,yes,no,yes
61,management,married,primary,22848,yes,no,yes
40,technician,married,secondary,17795,no,yes,no
30,technician,divorced,tertiary,42744,no,no,no
38,technician,single,secondary,15166,no,yes,yes
31,management,single,secondary,30440,no,yes,yes
56,management,single,primary,33097,no,no,yes
29,student,single,secondary,32135,no,yes,yes
68,services,divorced,secondary,17408,yes,yes,yes
36,student,married,secondary,36315,yes,yes,no
42,admin,divorced,secondary,14205,no,yes,no
35,student,divorced,tertiary,4804,yes,no,no
68,technician,married,secondary,37634,yes,yes,no
48,student,divorced,tertiary,48097,yes,yes,no
28,student,married,primary,-546,no,no,yes
30,student,single,tertiary,47863,no,yes,yes
62,student,single,primary,15102,yes,no,yes
34,management,married,secondary,40978,no,no,yes
55,technician,married,primary,7307,yes,yes,yes
37,student,married,secondary,6606,no,yes,yes
50,management,single,tertiary,37850,yes,yes,no
40,services,single,tertiary,10545,no,no,no
66,management,single,primary,45588,yes,yes,yes
44,student,married,tertiary,42457,yes,no,no
37,admin,single,tertiary,7218,no,yes,yes
40,management,married,tertiary,30956,no,no,yes
54,student,married,tertiary,48744,yes,yes,yes
26,services,divorced,primary,49428,no,yes,yes
23,management,single,primary,9724,no,no,yes
21,technician,single,primary,37673,no,no,no
37,technician,married,tertiary,42496,yes,yes,yes
38,admin,divorced,secondary,4520,yes,no,no
61,services,divorced,secondary,22038,no,yes,no
63,technician,single,secondary,42920,no,yes,yes
70,services,divorced,secondary,30191,no,yes,yes
53,student,married,secondary,40317,no,yes,yes
39,management,married,secondary,32700,yes,yes,yes
24,student,married,primary,16886,no,no,no
66,management,divorced,tertiary,19170,yes,no,yes
37,management,married,secondary,34244,yes,no,no
31,technician,single,tertiary,7132,no,no,no
34,admin,married,tertiary,38297,no,no,yes
69,student,divorced,tertiary,29463,no,yes,no
25,services,divorced,tertiary,15006,no,yes,no
25,student,divorced,primary,25678,no,no,yes
69,admin,divorced,secondary,1076,no,yes,yes
69,student,divorced,secondary,15788,yes,yes,yes
62,admin,married,tertiary,12700,no,no,yes
47,admin,single,primary,46454,no,no,yes
51,technician,single,secondary,36280,yes,yes,yes
48,student,divorced,primary,40061,no,yes,no
46,technician,divorced,primary,2308,no,yes,yes
31,technician,divorced,primary,13585,yes,no,yes
45,management,married,primary,23601,yes,no,yes
22,services,single,primary,42837,yes,yes,no
55,management,single,secondary,35947,yes,yes,yes
65,student,divorced,tertiary,26562,yes,no,yes
40,admin,divorced,tertiary,6239,yes,no,no
40,admin,single,primary,36500,yes,no,no
32,admin,single,primary,15538,yes,yes,yes
60,services,married,primary,38602,no,yes,no
19,management,divorced,tertiary,14804,no,yes,no
18,services,divorced,primary,6872,yes,no,no
18,admin,divorced,tertiary,31611,yes,yes,no
42,student,single,tertiary,33961,no,no,no
52,technician,married,secondary,37411,yes,yes,yes
58,technician,single,primary,25727,yes,no,yes
33,student,single,tertiary,35267,no,no,yes
56,management,single,secondary,30802,no,yes,yes
37,technician,divorced,tertiary,45351,no,no,yes
45,student,single,tertiary,31734,yes,yes,no
28,management,single,secondary,14113,no,no,no
40,technician,married,tertiary,48186,yes,no,no
49,admin,married,primary,24918,no,no,yes
32,student,divorced,primary,48406,no,yes,yes
63,services,single,primary,6385,yes,no,no
49,student,married,secondary,29059,no,yes,no
21,management,single,primary,22447,no,yes,no
70,services,single,primary,14413,no,no,no
45,admin,single,primary,19442,no,no,no
22,technician,single,secondary,36916,no,yes,no
65,management,divorced,primary,27331,no,yes,no
29,services,single,secondary,1167,yes,no,yes
28,technician,single,secondary,28099,no,yes,yes
69,student,divorced,secondary,19970,yes,no,yes
48,management,divorced,tertiary,1041,yes,yes,no
19,admin,married,secondary,2776,yes,no,yes
18,technician,married,secondary,24480,yes,yes,no
67,student,divorced,tertiary,42853,no,no,yes
66,technician,married,tertiary,15077,yes,no,yes
31,services,single,primary,21703,yes,yes,no
35,admin,divorced,secondary,28134,no,yes,yes
64,services,divorced,primary,23025,no,yes,yes
57,management,single,secondary,-327,yes,no,yes
46,services,single,secondary,13806,yes,no,yes
60,management,divorced,secondary,34583,yes,no,yes
56,management,divorced,primary,3389,yes,no,no
57,student,divorced,secondary,46078,no,yes,yes
26,admin,divorced,secondary,31806,yes,yes,no
42,management,single,tertiary,6906,yes,yes,no
38,services,single,tertiary,35967,no,yes,yes
64,management,divorced,tertiary,46007,no,no,yes
52,student,divorced,primary,44348,yes,yes,yes
30,management,married,secondary,22925,yes,no,no
27,technician,married,primary,30589,yes,no,no
69,services,divorced,tertiary,30066,no,yes,no
27,student,divorced,tertiary,17479,no,no,yes
58,student,married,primary,44808,no,no,no
38,technician,single,tertiary,12461,no,yes,no
41,management,divorced,tertiary,45323,yes,yes,no
31,technician,married,secondary,15880,no,no,no
23,technician,divorced,primary,48413,no,no,yes
66,admin,single,tertiary,14689,no,no,no
44,student,married,primary,18650,yes,yes,yes
34,admin,married,secondary,16825,yes,yes,no
69,services,divorced,primary,32129,no,yes,no
52,admin,married,primary,12661,no,no,yes
31,admin,divorced,primary,3479,yes,yes,yes
61,services,divorced,secondary,9791,yes,yes,yes
42,technician,divorced,primary,32556,yes,yes,no
54,student,divorced,primary,18781,no,no,no
49,admin,married,primary,9927,yes,yes,yes
40,student,divorced,secondary,16717,yes,yes,yes
63,services,divorced,tertiary,17719,no,no,no
54,technician,married,secondary,30775,no,no,no
54,student,single,primary,23221,yes,yes,yes
23,management,divorced,secondary,44765,no,no,yes
34,student,married,primary,47236,no,no,yes
37,services,married,tertiary,30354,no,no,no
36,technician,divorced,primary,23940,yes,no,yes
32,student,married,primary,47377,no,yes,no
67,services,single,primary,15274,no,yes,yes
34,technician,divorced,primary,37131,yes,no,no
26,services,single,tertiary,40785,no,no,no
25,admin,married,tertiary,24990,yes,yes,yes
45,student,single,tertiary,25645,no,yes,no
70,services,single,tertiary,47022,yes,no,no
66,management,married,primary,25598,no,no,no
50,admin,single,primary,15230,yes,no,no
25,services,divorced,primary,17277,no,yes,no
38,student,married,primary,11703,yes,yes,yes
46,management,divorced,tertiary,5834,yes,yes,yes
27,services,married,tertiary,2854,no,no,no
65,management,divorced,primary,49338,yes,no,no
58,student,divorced,primary,36754,yes,yes,yes
56,management,divorced,tertiary,49434,yes,yes,no
50,admin,divorced,tertiary,-749,yes,yes,no
18,management,single,secondary,17975,no,yes,no
27,admin,married,primary,8016,no,no,no
43,management,divorced,tertiary,46065,yes,yes,no
46,management,divorced,secondary,14132,no,no,yes
56,student,married,tertiary,24221,no,no,no
57,management,divorced,primary,40665,no,no,no
43,technician,married,secondary,42008,no,yes,yes
63,student,divorced,primary,33085,no,no,no
50,management,divorced,tertiary,4601,no,no,no
60,admin,divorced,tertiary,29385,no,yes,yes
46,admin,single,secondary,27639,yes,yes,no
61,management,single,secondary,18012,yes,yes,no
68,admin,married,tertiary,7376,yes,no,no
50,student,single,secondary,40287,yes,yes,no
30,student,married,secondary,9535,no,yes,yes
21,technician,single,secondary,23727,yes,no,no
22,management,single,primary,28935,no,yes,no
49,student,married,secondary,37380,no,no,yes
30,technician,divorced,tertiary,7500,yes,yes,no
52,admin,divorced,primary,13024,yes,no,no
21,student,divorced,secondary,42533,yes,yes,no
29,services,single,tertiary,16248,yes,no,yes
49,technician,single,primary,46425,no,yes,no
22,student,single,tertiary,29378,no,no,no
42,admin,married,secondary,32676,no,no,yes
55,services,single,secondary,4474,yes,no,no
41,services,single,secondary,16716,yes,no,yes
54,services,divorced,secondary,28652,no,yes,no
54,technician,single,tertiary,37290,no,no,yes
58,student,married,tertiary,23085,no,yes,yes
39,management,divorced,tertiary,9590,no,yes,no
21,student,single,primary,20309,yes,no,no
59,services,married,primary,1297,yes,yes,yes
23,services,divorced,secondary,32590,yes,yes,yes
34,admin,single,primary,40380,yes,yes,yes
45,technician,single,secondary,405,no,no,no
59,admin,married,primary,43806,yes,yes,yes
52,services,married,tertiary,33943,no,no,no
38,technician,single,tertiary,5688,no,yes,yes
69,admin,divorced,tertiary,-65,yes,yes,yes
57,services,divorced,tertiary,29654,yes,yes,yes
45,admin,married,tertiary,9231,yes,yes,yes
47,technician,single,secondary,27640,no,no,no
28,admin,single,secondary,27707,yes,yes,no
23,management,married,primary,35165,yes,yes,no
69,technician,married,tertiary,47977,no,yes,no
49,admin,married,secondary,13357,no,yes,yes
33,management,married,secondary,36949,no,no,yes
42,services,divorced,secondary,40602,no,no,yes
51,student,single,primary,-176,yes,no,yes
18,management,single,primary,49979,yes,yes,yes
38,technician,married,tertiary,25043,yes,no,no
23,technician,married,tertiary,1656,no,yes,yes
47,management,single,tertiary,29575,yes,yes,yes
26,management,married,secondary,16644,no,yes,no
68,services,single,tertiary,16281,yes,no,yes
32,student,married,primary,16620,no,yes,yes
22,admin,single,tertiary,22253,yes,yes,yes
19,management,divorced,primary,28819,yes,no,no
47,services,single,secondary,46245,no,no,yes
32,technician,married,primary,9843,no,yes,no
69,admin,married,tertiary,18246,yes,yes,yes
66,management,divorced,tertiary,43506,yes,yes,yes
43,student,married,tertiary,35049,no,no,no
27,services,divorced,tertiary,34634,yes,yes,no
43,student,married,primary,5904,no,yes,yes
43,admin,single,tertiary,38342,yes,no,yes
56,student,divorced,primary,26551,yes,yes,no
63,management,single,primary,17456,yes,no,no
57,student,divorced,tertiary,10134,no,yes,no
35,management,single,tertiary,4053,yes,no,yes
63,admin,married,primary,9051,no,yes,no
25,student,divorced,primary,2030,yes,yes,yes
51,services,married,secondary,35663,yes,yes,no
36,services,married,primary,42605,yes,yes,no
32,student,married,tertiary,19694,yes,no,no
19,technician,single,primary,8381,no,yes,yes
35,management,divorced,primary,19847,yes,no,yes
39,services,single,secondary,39546,no,no,yes
68,admin,divorced,tertiary,47009,no,no,no
54,services,single,tertiary,1925,yes,no,yes
56,services,married,secondary,11580,yes,no,no
49,technician,divorced,tertiary,38956,yes,yes,no
41,management,married,tertiary,46318,no,no,no
28,services,single,tertiary,40290,yes,no,no
61,services,single,tertiary,30700,no,no,no
46,admin,married,tertiary,21963,no,no,no
25,management,divorced,primary,6339,yes,yes,no
32,admin,divorced,primary,13819,no,yes,no
24,admin,single,primary,45925,no,no,no
51,services,divorced,primary,37429,yes,yes,yes
63,technician,single,secondary,46474,yes,yes,yes
67,student,single,tertiary,28049,no,no,no
22,admin,divorced,secondary,45768,yes,no,no
56,services,single,primary,36114,yes,no,no
69,management,married,secondary,2704,yes,no,no
55,student,single,tertiary,15941,yes,no,no
30,student,divorced,primary,21242,yes,yes,no
52,admin,divorced,secondary,11318,no,no,no
55,student,single,tertiary,27059,yes,yes,no
62,services,married,primary,19067,no,no,yes
33,technician,married,secondary,25653,no,no,no
